    ID  Unit  phi1   phi     phi2        X        Y  St Cls   MAD  BC  BS
     1     1  113.5  010.9  09      60.0000   0.0000   5   1   0.4 142  62
     2     1  103.2  010.6  20      60.0000   0.0000   5   1   0.4 142  62
     3     1  107.7  011.8  16      60.0000   0.0000   5   1   0.4 142  62
     4     1  145.1  059.5  39      60.0000   0.0000   5   1   0.4 142  62
     5     1  010.4  151.3  60      60.0000   0.0000   5   1   0.4 142  62
     6     1  168.1  026.1  02      60.0000   0.0000   5   1   0.4 142  62
     7     1  028.6  043.8  56      60.0000   0.0000   5   1   0.4 142  62
     8     1  009.3  146.8  58      60.0000   0.0000   5   1   0.4 142  62
     9     1  007.5  146.7  55      60.0000   0.0000   5   1   0.4 142  62
     10     1  168.5  028.1  03      60.0000   0.0000   5   1   0.4 142  62
     11     1  005.0  155.2  04      60.0000   0.0000   5   1   0.4 142  62
     12     1  026.0  043.9  59      60.0000   0.0000   5   1   0.4 142  62
     13     1  006.1  147.3  58      60.0000   0.0000   5   1   0.4 142  62
     14     1  022.9  041.4  58      60.0000   0.0000   5   1   0.4 142  62
     15     1  107.9  010.9  15      60.0000   0.0000   5   1   0.4 142  62
     16     1  099.8  011.5  25      60.0000   0.0000   5   1   0.4 142  62
     17     1  021.4  042.6  60      60.0000   0.0000   5   1   0.4 142  62
     18     1  132.3  004.7  51      60.0000   0.0000   5   1   0.4 142  62
     19     1  087.4  011.3  37      60.0000   0.0000   5   1   0.4 142  62
     20     1  023.2  044.9  59      60.0000   0.0000   5   1   0.4 142  62
     21     1  175.6  054.8  15      60.0000   0.0000   5   1   0.4 142  62
     22     1  132.9  005.6  51      60.0000   0.0000   5   1   0.4 142  62
     23     1  176.1  055.4  17      60.0000   0.0000   5   1   0.4 142  62
     24     1  175.8  054.6  17      60.0000   0.0000   5   1   0.4 142  62
     25     1  025.0  043.7  58      60.0000   0.0000   5   1   0.4 142  62
     26     1  024.5  045.2  59      60.0000   0.0000   5   1   0.4 142  62
     27     1  175.2  054.7  19      60.0000   0.0000   5   1   0.4 142  62
     28     1  025.0  045.0  59      60.0000   0.0000   5   1   0.4 142  62
     29     1  167.7  026.2  03      60.0000   0.0000   5   1   0.4 142  62
     30     1  028.7  043.5  56      60.0000   0.0000   5   1   0.4 142  62
     31     1  011.0  146.0  02      60.0000   0.0000   5   1   0.4 142  62
     32     1  010.6  147.1  02      60.0000   0.0000   5   1   0.4 142  62
     33     1  010.3  146.5  02      60.0000   0.0000   5   1   0.4 142  62
     34     1  009.6  146.5  00      60.0000   0.0000   5   1   0.4 142  62
     35     1  008.7  146.4  59      60.0000   0.0000   5   1   0.4 142  62
     36     1  010.3  147.1  01      60.0000   0.0000   5   1   0.4 142  62
     37     1  010.7  146.8  02      60.0000   0.0000   5   1   0.4 142  62
     38     1  149.2  016.0  41      60.0000   0.0000   5   1   0.4 142  62
     39     1  168.1  050.3  23      60.0000   0.0000   5   1   0.4 142  62
     40     1  168.2  044.4  60      60.0000   0.0000   5   1   0.4 142  62
     41     1  164.6  150.7  02      60.0000   0.0000   5   1   0.4 142  62
     42     1  163.5  148.6  02      60.0000   0.0000   5   1   0.4 142  62
     43     1  161.1  149.1  04      60.0000   0.0000   5   1   0.4 142  62
     44     1  001.9  117.7  28      60.0000   0.0000   5   1   0.4 142  62
     45     1  165.1  150.5  03      60.0000   0.0000   5   1   0.4 142  62
     46     1  168.2  044.3  00      60.0000   0.0000   5   1   0.4 142  62
     47     1  161.5  147.0  04      60.0000   0.0000   5   1   0.4 142  62
     48     1  175.6  061.7  46      60.0000   0.0000   5   1   0.4 142  62
     49     1  163.9  150.9  07      60.0000   0.0000   5   1   0.4 142  62
     50     1  168.2  044.7  01      60.0000   0.0000   5   1   0.4 142  62
     51     1  178.1  116.9  08      60.0000   0.0000   5   1   0.4 142  62
     52     1  163.7  148.3  06      60.0000   0.0000   5   1   0.4 142  62
     53     1  158.9  149.1  02      60.0000   0.0000   5   1   0.4 142  62
     54     1  160.4  148.4  04      60.0000   0.0000   5   1   0.4 142  62
     55     1  178.4  118.9  08      60.0000   0.0000   5   1   0.4 142  62
     56     1  175.8  060.4  45      60.0000   0.0000   5   1   0.4 142  62
     57     1  161.4  021.2  10      60.0000   0.0000   5   1   0.4 142  62
     58     1  164.5  148.5  03      60.0000   0.0000   5   1   0.4 142  62
     59     1  161.1  021.5  10      60.0000   0.0000   5   1   0.4 142  62
     60     1  147.1  048.2  31      60.0000   0.0000   5   1   0.4 142  62
     61     1  176.0  026.1  41      60.0000   0.0000   5   1   0.4 142  62
     62     1  147.1  048.2  30      60.0000   0.0000   5   1   0.4 142  62
     63     1  147.1  048.6  29      60.0000   0.0000   5   1   0.4 142  62
